image_name,extracted_text
0011974919.png,";ONFIRMATION

RESPONSE CODE REQUEST

To: _doe Leinster

From: —Joyee Bagby
Date: _September 10, 1996

Brand: Eclipse PPS Program #: 602399 Requested By:
Tite: Sneak Preview Confirmation Cal-Charlotte Tests

Description: Record of confirmation calls for sneak preview appointments,

Fulfillment Data Entry at, APAC
Circulation Quantity: __300_
Estimated Response: 100.00 %

Estimated Responders: __300

Distribution Drop Date; 1003/96. Expiration Date: —__

Response Code Assigned: __W25.

‘Address, postal requirements, barcodes, document storage, and

batch numbers to be supplied by:
APAC
“DE Fulfiiment Vendor
C: Suzi Hicks, RJRAR Debbie Lockery
Karen Giddens. ‘Vanessa Oakley
Drew Huyett Melissa Andrews - TBM
Jackson Roper ‘Tammi LaManna - M/B

e96z tszzs

"
0011976929.png,"SPECIAL EVENTS

dtate: Illinois ____ titystown: Dundee

Type of Event: Beauty Contest

Estimated Attendance: 700. Dates: March 3rd, 4th & Sth,

Name of Even’ Mrs. Illinois Beauty Pageant

Contact (Name/Telephone): Ms. Joy Weathers (Sales) 312/426-8000

Audience Concentration: ___ 90% White = 10% Black
5 Age category 21 yrs. to 45 yrs.

Recommended Brand(s) and Promotional Activity: BARCLAY sampling

2 - 12M cases mixed.

{0 be placed _on tables by B & W Reps.

466603840
11r/9349
"
0012178355.png,"Attachment IT

BRAND ELI CUTTER KS

SPECIFICATION CHANGE PROPOSAL

Bomestic __X Export

Military

SPECIFICATION CHANCE NUMBER 84-79
Contract _~

‘Tie OF SPECIFICATION GHANGE (Check all that apply)

Packaging, Temporary

Cigarette Design, Trial

Tar Adjustment <1 mg

New Product

Equivalent Additive

Equivalent Filter/Paper/Tipping

Packaging, Permanent
Cigarette Design, Permanent
Tar Adjustment > 1 mg
Discontinue Product —
Equivalent Packaging Material
Processing

Description:

‘cost Sunmary ~

ELI CUTTER KS, for test market, using AMELIA”

Biend (XLF-6800).

REQUESTED IMPLEMENTATION DATE

STIR

‘COST_SUINARY
Obsolete Material Cost
Special Equipment /Naterial Cost
Est, Anqual Product Cost Change

‘APIAGINENTS (Gheck iF Included)
Rationale

Product Specification List =
Packaging Art Stat.

Processing Detail

Taitial Production Requirenent

Cost Analysis
Spec. Change Detail
Casing/Flavoring Formulae
Blend Formulae

Prepared By: D.M. Frank _ Date 19/10/84
ENDORSEMENTS Date
ga.
RDSE_— Product,
RDSE ~ Process
ELT
Marketing
APPROVAL, Date
gah —
President
1OLIk

621626776

"
0012199830.png,"customer aay RECEIVED

a
Product Name__Falcon Green DEC 1 1 1989
Formula No. __ $xoc-4518 A.C. D.

Solids Composit
Lecithin (Food Grade)
Epoxidized Soy Bean O11
Cellulose Nitrate Net _w/2 Propanol -
Pigment, Yellow 34
Pigment, Blue 15:4

Esterof totified trieytie Gerbowtie Acid Jonrez TH02/

Total Solids

Solvent Composit to % V.0.C

Toluene

Isopropyl Acetate

N-Propyl Acetate

Total V.0.C..

100.00%

DLR
12/5/89

Technician

608110969

"
0012529284.png,"CHANGE OF AUTHORIZED COST
12-4-87 No. c=51

Description: _CAPRI A&U EXPANSION - CALIFORNIA: WAVE 2 (87-113),

WAVE 3 (87-114) AND WAVE 4 (87-115)

Supplier: Kapuler Marketing Research
Previous $ Commitments This Project $__212,475 £10%
‘Amt. of Change: Increase __ Decrease __$_NA ( % Change)
Adjusted Total Cost of Project: $_212,475 410%
Reasons:

Adjustment due to timing of projects falling

into 1988.
PROJECTED: Summary of Research Budget

1987

Internal Init. Date Total Area Budget: 780, 900, 00
Ext. Auth, Date Current Balance Available: _ (886, 220,53)
Field Complete This Change: +14, 165,00

(From Current Budget)
Final Report Due
(Supplier Rpt.) This Amount 14,165.00
(From Next Year's Budget)
Com-

Start plete _FR
87-113 (70,825) 9/23 10/11 11/1é6New Balance:
87-114 (70,825) 10/13 10/29 12/7
87-115 (70,825) 11/16 12/7 1/11

(872, 055,53)

Committed To Date: 1, 652, 955,53

Submitted By:__S.L, Willinger Date 12-4-87
Approved by: Date
Approved By: Date

Approved By: Date
Budget Checks Date 2a/2/¢¥7
KF. Lyl
Origina’ - Project File
ce: S. Willinger (3) Project No. 1987-113/114/115-CA
2D. Raphael
V. Hansberry (If Int.) Account Name___ CAPRI

000008 465915249
"
0012529295.png,"MARKET RESEARCH AUTHORIZATION
(Recommended Proposal Attached)

Date: _10/9/a7

Description: CAPRI Expansion:

California -

Now,

ASU Wave IL

Requested By: _S. H. Trebilcock Research Request Attached: Yes_x No
Competitive Proposals Obtained:
Est. Cost Per

‘Supplier Gost ($) Travel Total Cost Interview
Kapuler Market Research $ 70,825 +/- 10% $70,825 +/- 102) _$47.22
Market Facts, Inc. $112,000 +/~ 10% $112,000 +/~ 10% _$74.67
Projected Sumary of Research Budget
Initiation Date _8/3/87 Total Area Budget: 780,900, 00
Field Start 9/23/87 * Current Bal. Available: 381, 583, 08)
Field Complete _10/11/87 ‘This Change: =70,825,00

(From Current Budget)

Final Report Due _11/16/87

This Amount
(From Next Years Budget)

Actual stesit date on thd
Part oy
oom due to stent af4 (Hed
Jo weak post-initro panied )

Techncslly yey Balance:

-0-
(452, 408, 08)

to Date: 1,233, 308,08

Committed

See Prassct Fide noted (Current Year)
LS tefisler

Sample Size: 1,500

Recommended Supplier:

Kapuler Marketing Research

Reason(s) for Recommendation: Low bidder-

submitted By: 2.J, Seumniom)

Date tojafan

pate 20/94,

i. E. Gravely
Approved By:

Date

Approved By:

Date

Budget Check:

Date

KF. Lyle
Original - Project File
ce: S. Willinger (3)

G. D. Raphael

V, Hansberry (If Int.)

/1sbgl00s

Account Name

Project No. _1987~113CA
CAPRI

465915288
"
0012602424.png,"DATE: ___.33/2/84 AUTHORIZATION NOs __we-75__

PROJECT NAME: _cmONT AWARENESS ATTITUDE & USAGE YONTTOR = poprisun

SUPPLIER: BURKE MARKETING RESEARCH -

Previcus $ Commivmenrs THis Provecr: $220,000 *
t : $41,000 (0:5 % CHance)
- TE One)

A I Ci Py Tt $. 221,000

Reasons:

REVISED COST DUE TO A QUESTION ADDED TO THE SECOND WAVE AND CHANGES MADE

IN WORDING OF OTHER QUESTIONS. THIS COVERS THE COST OF ADDITIONAL TELEPHONE
INTERVIEW LENGTH, CODING OF THE OPEN-END, PROGRAMING CHANGES, TABULATION
AND ANALYSTS.

| 1984
| PROJECTED: TOTAL AREA BUDGET: (REV) 3,488, 000. 00

F :
Field Start Aug. 1984
Field Complete —pet5st— CURRENT BAL, AVAILABLE: 17,195.66

Final Report Due __dJan. 1985"" mars CHANGE: -800. 00

(From Current Budget)

| TRIS AMOUNT___200.00__
(From Next Year's Budget)

WEW BALANCE: 16 395-66

COMMITTED TO DATE: 3,493, 204,34
(Current Year)

VLA
TATE

2

TI
OAPULEY.

TE
(2-1
~ DATE

ORIGINAL ~ Provect FILE
cc: S. WiueanceR (3)/ *Provect Ho, _1984-175NP =

Research Group MANAGER Account tame Nev Products gg 4995147

"
0012947358.png,"LL SYSTEL : he oon
The Corporation Trust Company >
The Corporaljan BS neLompany to: The Corporation Prust Company ¢
CT Corpera New York, New York H

anda 7 co

FRoM:_C_T Corporation System
TOngneirg A)

per__Phyllie G. Jennings

0 System
ibd Goeth

yO:__Milliom R. Degeshardt, Tax Director

“he smerican Tobacco Compal
See ee
TWew York, New York TOIT

ated Ranh

Jacksonville, Florida
ae a
ate,_1=27269__ YM) Ceried Matt

VIA: (X) Certified Mell (} Messenger
(} Contitied Air Matt
Re: PROCESS SERVED IN FLORIDA
roR__'THE AMERICAN TOBACCO COMPANY
Nene of Compo)
Encloved are copies of legal process served upon the statutory agent of the ebove company
1. Title of Action: Reuben Sunstein, Plaintiff, v. The American Tobacco Company, a New
Jersey corporation, Defendant,
1
|

2. Documents) Served: Summons and Complaint
3.Coun: Gireuit Court, Dade Gounty, Florida. No, 69-1351

“4: Notre of Ain; For personal injuries resulting after smoking ""Pall Mall"" and ""Lucky
‘strike cigerattos manufactured by defendant, wherein plaintiff alleges breach of wal
antics, seeks damages in excess of $5, 000 and demande trial by jury.

On Whom Pros

Phyllia G. Jonnings, Asst, Socy., Tho Corporation Company,
Jacksonville, Florida

4, Pate ond Hour of Serview: January 27, 1969 9:00 ayy
7. Appecronce or Answer Duet Within 20 daya aftar aex'vice, oxcluaive of day of service,
Point's Attorney{s: Max A. Goldfarb

414 Biscayne Building
Miami, Florida

9, Remarks:

RECEIVED AND FORWARDED ON__2/29/69 po

KINDLY ACKNOWLEDGE RECEIPT BY SIGNING AND RETURNING TO by; THE CORPORATION TRUST COMPANY
Us THE ENCLOSEO CARBON COPY. OF THIS TRANSMITTAL FORM. i
wu lL Lglusl ppl
Tolvell, Asst, Secye
-2T1 Pack Avenue

New York, New York 10027

"
0013255595.png,"Attachment A

PUBLIC COMMUNICATIONS APPROVAL SHEET

The Tobacco Institute

DATES,

SUBJECTS.

WRITERS,

APPROVALS!
NAME OR INITIALS

Division Head

Bill Kloepfer

Sam Chilcote

Legal Approval Recommended/Required: yes
SHEB

co

Others

No,

"
00283813.png,"Sample No. | 5031. : eet

* Ofiginal request made by Mr. €. b. Tucker, gr. on i 7/10/68
Sample specifications written by John H. M. Bohlken
BLEND, CASING RECASING FINAL FLAVOR MENTHOL FLAVOR

~"" OLD GOLD STRAIGHT Tobacco Blend : . we

Control for Sample No. 5030

Cigarette: i
Brana - OLD GOLD STRAIGHT
Length a---- 85 mm.
Circumference--~ 25.3 mm. -

Ecusta 556

Paper ~
Firmness OLD GOLD STRAIGHT :
Draw = OLD GouD STRAIGHT
weight OLD GOLD STRAIGH? “Wrappings .
Gipping Paper -- -- .
Print- op comp sirrarcyr -eBeLs ~-""~ OLD GOLD STRAIGHT
C - Filter rengeh- Ss Closures--- standard Blue
~ Tear Tape-- Gold
; . Cartons =-- OLD GOLD sTRATGHD
=, Requirements: . Markings-- Sample number on each
Laboratory one tray . Pack and carton
Others Stet .
p/b- LL le§, Le
Laboratory Analysis: —~ 7 Cf a eek

: Vig
Benzo (A) Pyrene Analyses — 7-/¢-cF- @.( ye See

Responsibility
Tobacco Blend - Manufacturing - A. Kraus . -
Filter Production--- =
Making & Packing --- Product Development , John H. M. Bohlken

Shipping ~. - -
Reports . «
Written by -- John H. M. Bohlken 5
Original to -Mr. C. L. Tucker, Jr.
Copies to Dr. A. W. Spears se fa .
Cc : &

"
0030031163.png,"SPORTS REGISTRATION
37TH ANNUAL MEETING
AUGUST 15-18, 1996
RYE-TOWN HILTON HOTEL
RYE, NEW YORK

Make copies of this form if necessary. Complete applicable
section(s) and return to NYSAWMD.

LORILLARD TOBACCO COMPANY

GOLF TOURNAMENT (zadies & Men)...Friday, August 16, Tee off
at 8:00 A.M. SHARP (no green fee)

I will participate in the Golf Tournament < >
My handicap i. < > Strokes

NAME,

FIRM NAME.

reverectttetttetettterstctcttccctcceccreccccerctertrcrrccctrcercd

BROWN & WILLIAMSON TOBACCO CORPORATION

TENNIS TOURNAMENT (Ladies & Men)...Friday, August 16,
starting time is 3:00 P.M.

I will participate in the Tennis Tournament
I would classify myself as (please check appropriate box)

< > Beginner
< > Fair

< > Good

< > Excellent
NAME.

FIRM NAME.

oiieccteteeceresececccctcccretecerertrettracecctererrrerrrcer® 2 ©]

NYSAWMD, INC. 211 EAST 43RD STREET, NEW YORK, NY 10017-4707

ConVEORH. 96

A

"
0030041455.png,"KOOL & GPC GOLF BAG SURVEY

Section Number: 2

Section Sales Manager's Name: [Peter Hatch

Please place the following order for KOOL and/or GPC Golf Bags for my Section:
KOOL Golf Bags 5
GPC Golf Bags 0
end the completed survey to Linda Daniels in Field Supply via fax (502-568-7189) or
CC:Mail no later than June 7.

n22A. wht
"
0060000813.png,"P. 8. 73-91,

Week of: Date Recelvea 1/25/91
LASER PERFORATED TIPPING APPEARANCE CHECK
HOLE DEPTH, SCORCHING,- CRATERING

Modules 412 Brana: CARLTON Filter 100's - 4 Mg Laser

Shit & Date: Pulse: ME oer
FRONT CIGARETTES

Hole Depth: aim 13.0 mm from end

Scorching + Insignificant.

cratering + None to insignificant.

Comments + Excellent appearance (18 holes).
BACK CIGARETTES

Hole Depth: um. 13.0 mm from end

Scorching + Insignificant.

cratering : None to insignificant.

‘comments: Excellent appearance (18 holes).

Module: Brands

shift & pate: Paise: Power:

FRONT CIGARETTES
Hole Depth:

Scorching +

cratering

Comments +

BACK CIGARETTES
Hole Depth:

Scorching +

cratering +

Comments +

ATXO2 0062194

"
0060007216.png,"PROJECT INITIATION FORM

PROJECT CODE PNRAL paTR_APFil 30, 1985
PROJECT NAME, PALL MALL Regular Menthol
PROJECT LEADER J. Ff, Anders:

WORK REQUESTED BY _R. S. Sprinkle, ITT

PROJECT OBJECTIVE _To develop a nonfilter menthol cigarette

delivering 21-24 mg “tar” as a menthol

companion to PALL MALL Famous Cigarettes.

Cigarette dimensions: 84 x 24.9 mm circun-

ference.

OTHER PERSONNEL,
ASSIGNED. E, P. Barbee

Approved by

ce: RSS
RDC
PUL
PRC
yc
Records
Project Leader
Other Personnel Assigned

ATX02 0226607

"
0060024314.png,"CITY OF REIDSVILLE CHEMICAL MANAGEMENT PLAN )
1993 INVENTORY
CHEMICAL USAGE FACT SHEET

Process Chemicals Used in Excess of 100 Pounds/Day,
Water Treatment Chemicals, Cleaning Compounds

Permit #

The"" Anerican Tobacco Company 001

(CHEMICAL DESCRIPTION

PRODUCT (CHEMICAL) NAME: putter 62315 DC

DESCRIPTION: Liquid Adhesive

PRODUCT CLASSIFICATION (Cie One: wera

(CHEMICAL FORMULA: Vinyl Acetate

CAS so gs05-4 FERCENT ACTIVES Otten: gy

MANUFACTURER: H. B. Fuller Company PHONE #64» 481-3300
cHRMCAL UeACE

Ls ARUAL USAGE)

74880

1993 AVG. MONTHLY USAGE (LBS) 6240

APPLICATION (Cucle One and Briefly Describe):

Prodiaioa Proce, label adhesive

Water Treatment:

Housebeeping/ Cleaning:

Other.

ATX02 0132045

"
0060025670.png,"TEST ADIESIVE EVALUATION

Supplier:

Adhesive Coder

Application:
(tipping, carton end flaps, ete.)

Test Period:

APPROVED NOT APPROVED

If not approved state reasons.

‘Tester
Quality Control
Socal Purchasing
Manager

Complete and return to D. R. Brickey, Department of Research
and Development, as soon as possible,

ATKO2 0083035
"
0060029036.png,"SPORTS MARKETING ENTERPRISES

. * DOCUMENT CLEARANCE SHEET
Date Routed: January 11, 1994 Contract No. 4011 00 00
Contract Subject: Joe's Place Exhibits

Company _SPEVGO, INC.

Brand(s) _CamelWinston

Total Contract Cost $4,340,000.00 Current Year Cost 1994-1995
Brief Description 2 Joe's Place Exhibits for use at Winston Cup, Winston Drag and Camel
‘Super Bike Events,
GA. code: Program Budget Code
NAMI SIGNATURE DATE
Originator Michael Wright
Manager John Powell b. 2. bull L-U-9¥E
REVIEW ROUTING
‘SIGNATURE DATE
Insurance
Law
FS - Marketing
REVISIONS TO SHELL PAGE(S) SECTIONS)
(Ober than Term,
‘Compensation o¢ Job
APPROVAL ROUTING
* Sr. Manager (B. J. Powell)
* Director - (G. L. Littell)
** Sr.VP—T.W. Robertson
Retum To: MARY SEAGRAVES ‘SME 13Plaza
Ext. 1485

* UP TO AND INCLUDING $25,000
“OVER $25,000

Revised 10/26/92

Gets 699TS
"
0060036622.png,"To: Mr. G. J. Schramm Mr. W. P. Myhan
Mr. R. H. Stinnette Mr. F, X, Whelan
Mr. J. B. McCarthy

From: BE. E, Curtin

Request for contribution or membership to be
considered by Contributions Committee at next
meeting

fe] contribution (Membership
Harvard Medical School
Requested by and Dr. Gary Huber

Boston, Magsachusetés 00

Message__ Letter @/1/76

For American Brands, Inc.

Recent actions regarding above solicitor -

Payment ~ 1976 $40,921.30 by A.B.,Inc.
1975 84,309.94 ALB., Inc.
1974 92,131.29
1973 91,630.53

Remarks ~

For confirmation by the Committee. Check for
$43,910.30 representing the ninth semi-annual
installment to the Harvard Project transmitted
August 1976.

Decision of Committee on Present Request -
Pay - § ——___—

Declined - Send letter YES NO

Consideration deferred until

"
0060068489.png,"yy an, vo ap aoe
He Smerican Jebacer Compa a ADVERTISING AND SELLING AUTHORIZATION

248 PARK AVENUE, NEW YORK, NEW YORK 30167

DO_NOT MAKE ANY COMMITMENT OR AUTHORIZE ANY EXPENDITURE OF ANY KIND FOR
ACCOUNT OF THIS COMPANY UNTIL EXECUTIVE APPROVAL HAS BEEN OBTAINED HEREON,

AGENCY_____Corporate Media Department _____Wo,___pate_3/17/82__
AND ‘MEDIUM DESCRIPTION
LUCKY STRIKE Low Tar outdoor 30 Sheet Posters
Pilters Box - 100% (White Background)
PERIOD- FROM April guly

[ENTER ESTIMATES OF AMOUNTS TO BE EXPENDED BY MONTHS UNDER “REMARKS” OR ON ATTACHMENT,
‘MAXIMUM EXPENDITURES AUTHORIZED.

AIR TIME oe
1,680 ""30 ‘Sheet posters
HOODOO $26,880.00 1,600 posters plus
5% overrun (80) ©
SPACE ——____-—-_ $16.00 each
ART WORK
MECHANICAL PRODUCTION —
DISPLAY MATERIAL,
CONTINGENCY
Rgtimated Freight charses__ ___2.000.00
Tota, $28,880.00) ‘APPROVALS
Agency
REMARKS: Product
For posting in Cincinnati, Covington and Media
Tampa/St. Petersburg.
Sates

Posters are captioned for identification,
“LUCKY STRIKES AGAIN"" (printed in red) with the |sareting
word “New” printed in a snipe effect in the
upper left corner. These posters have a white |Eseuve
background and will be further identified ai

such in order to differentiate from a secon: ‘Accounting
gn which will have a solid red background
with white lettering.
Posters are printed six colors (four color Budget Alloction —Lee 3a

Process and two impressions of red) on white
O# outdoor poster paper. ‘Authorization No, M=49
"
0060077689.png,"Sy THE
AMERICAN _ : PURCHASE REQUISITION
COMPANY FOE SA FORD, CT RESTA
orem paar Saar
January 3, 1995. Mr. G. Schumacher
--- WEBCRAFT TECHNOLOGIES, INC. . -1--NO SHIPPING REQUIRE!

Attn: Mr. Steven Katz
|.--Route d-and-Adams-Station..-...-

North Brunswick,

NJ 08901-0623

NO SHIPPING REQUIRED. |

[Pier 30 Days

QUANTITY.

DESCRIPTION — PRICE

_|31,000 tbs. of 80 Ib. Sterling C/2/S - 26-1/2"" roll

CARLTON ""Free Carton” Direct Mail Piece
‘This Purchase Order is to cover all costs incurred to-date
tisted tetow: aoe

42,000 Ibs: of BU Ib-

tenting C21S-= 36-1/2""rot-~ 20,680.00"" --

$
$15,190.00

|
L$
|

| Prep. (line negatives, paper prints, camera/stripping) __ $434.25 |

Federal Exnre!

hare:

ALL MATERIALS HAVE BEEN CANCELLED. __

Brand Operations [Adv. Expense | D. Barcia i
Krorroseounctoersvmuen roscourcro i
| mi47a9 i

January 3, 1995

OM. Stocklomm Hey, Tah

"
0060080406.png,"A APAMERICAN SAE SSencncor oss ADVERTISING AND
TOBACCO SELLING AUTHORIZATION

oT WARE ANY COMMITMENT Qk AUTHORIZE ANT SXEENDITUREOF ANY KINO FOR ACCOUNT OF THB COMPAL UNTA EXECUTIVE APPROWA HAS BERN CSTAINEDHEREOK,

omemaron SALES. youn. + pare 92/04/91
sano weowat DESCRIPTION
BULL DURHAM Filter Box COLLATERAL MERCHANDISIN
BULL DURHAM Lights Box MATERIALS
penion-Faow = 01/81 mau (03/81
REMARKS ~

To cover the cost of coilateral merchandising materials to be used in ‘99
‘in connection with the merchandising and promotion of BULL DURHAM.

These coste will include but are not exclusive to the the following

@ owerrtn

CARTON END PANELS LIGHT THIEF SOORED CARTONS
DECALS. MOBILES SHELF DANGLERS
LABELS POSTERS (LARGE WINDOW) SIDING INDOOR TALKERS
JUMBO PACKS PACKAGE I.D. STRIPS

TOTAL $ 36,000.00

“APPROVALS

""ACCOUNTING DISTRIBUTION

JAN $ 40,900.
FEB 8 © 10,000.
MAR $ — 15,000.

‘Agency

Forecasting,

see
‘Aocount Gods wo 320 |
eo
Present — ;
stn, 8080 wf
craimunvce0 _| vn ot i

"
0060091229.png,"MARDEN-KANE. INC.

(686 FIFTH AVE.- NEW YORK.N.Y. 10103 (212) 582-6600

‘TRAVEL INFORVATION SHEET

‘his information will be used ‘by Marden-Kane in neking travel arrangenents for
your round-trip to Tos Angeles, California.

Finalist Name: ___

Home Midress:

Hane Telephone:

Business Telephone:

Name of Guests ~

Felationship to Finalist:

Major Airport Nearest —
your hone: =

Distance fram your
hone to airport: -

Do you prefer airline
seats in stoking or
non-smoking section: 7

Any spectal dietary
meal you and/or your
guest would prefer -

RETURN TO: Marden-Kane, Inc-
666 Fifth avenue
New York, N.Y. 10103
Attention: Ms. L. Sobel
"
0060094595.png,"TORIEIARD CO, INC. RDSEARCH DIVISION,
QUALITY CowrnoL DEPARTHENT

SMOKE ANALYSIS AND BURNING TEST REPORT
WEEKLY PRODUCTION LITTIZ CIGARS

NON PILTERS
WSEK ENDING 11/25/66

BETWREN-THE-ACTS ‘MANISON
haracterietic Tested | 25, zx mm. Butt 25 23 mm. Butt
Spoke Analyste Present Semple | veon of tast | Present Sanple | Hoan of last
33 Staples a2"" Shapies
weishe 1.088 rive ran rae
brew 0.38 0.37 ons O37
tar 39.7 35.6 37-8 31.0
icotine 4.26 3.88 was 288
TEs we tems [ate basic beete beste
Static complete
cisee e 23 a 23
“af eigen 5 3 3 5
“A eisae 7 2 a ""
Immediately 2 ° 4 °
Dynami “Hine in
“a Busnea
Conphetely
s0c-36
me i.
| ,
| /
i
—
2
3
FA
Ny
2
—
g
a
"
0060136394.png,"WHAS

Batten, Barton, Durstine & Osborn ‘*/**/5?

CHANGE IN RADIO SCHEDULE
Curent ‘THE AMERICAN TOBACCO COMPANY (IUCKY STRIKE)
Prooraw. 1/2 HOUR PROGRAMS

Starions_WHAS__LOUISVIMER, Kenmucgy
saceeo__cowmacr #1032
ENDIRE SCHEDULE CAICELLED LAST BROADCAST SATURDAY. APRIL 13,1957

REVISED COWTRAGT TOTALS:

TomaL: $6,600.00.

‘Siowen____ HORE. MaRTTNe2, _Dare.._aPRiL. 1, 1957
"
0060165115.png,"Contract Research
TELEFAX MESSAGE NO. QOS

‘HEF Tana ir Watcha Frechong Gran Fagae = DETTE

“Tetephore (22.09 908-4
“els (2205 90 982

v1

DLEV.FAX
DATE: 28, Apr: 98
FROM: Dr. Wolf Reininghaus
99-04-28 12:05 yp
To: Dr. Don Leyden,
Dept. Scientific Affairs
u
; Telefax-
ADDRESS: Philip Morris Europe er
Perse remesa Original
CH-2003 Neuchatel A bl age
Faxno.: 0041-32-88 5776
NUMBER OF FOLLOWING PAGES: 21 ( Ae. bs ze)
Re.: TPM/Nicotine ratio
Ye

For your information!

“Toda Reger: Clone HR 367

‘Genera ansgr br Wl Renghass ame
"
0060173256.png,"THE

“AMERICAN, APPROVED MARKETING PROJECT
TOBACCO EXPENSE RECOMMENDATION
COMPANY
| Project No | $0002 Supp 2 [description | Displays ]
S75
Private Stock
carton 08
37,560,000

Dispia CAR-MMT-DSP. 31,000.00

. PRV-MMT-DSP (31,000.00)

"
0060207528.png,"LAURENCE, CHARLES, FREE & LAWSON, INC.
260 MADISON AVENUE, NEW YoRK, NY 100J6 (212) 213-4646

30-SHEET POSTI

PLEASE RETURN TWO (2) COPIES OF THE LOCATION LIST ALONS WITH THO (2) COPIES |
F THIS COMPLETION REPORT FORM TU THE AITENTION OF TR. JOSEPH VAZQUE AT THE

ABOVE ADDRESS =

COMPLETION REPORT FORM

CONTRACT: __A-530-1059 _

CLIENT:_THE AMER,

TOBACC

BRAND NAME: PALL MALL REO LIGHTS

MARKET: agro, oH . _

PLANT OPERATOR: patréck Media Sraup, Inc.
SIZE SHOWING: 4* 7S GRP -

; 3 sy
NUMBER OF PANELS: 4 t oa
RECUR TCLUTATED Tor
v.t.c._9 34/1 $27.6
PLANT AVERAGE
PLAW ERAGE —_

DATE POSTERS RECEIVED FROM LITHOGRAPHER: bola
POSTER DESIGN: THe TESTS FRENKS THAGVGH _

SCHEDULED POSTING DATE: 7/16/89

pave posrine conmueteo:__ 7/2) /89

THIS WILL CERTIFY THAT I HAVE EXAMINED THE RECORDS OF OUR
BILLPOSTERS, AND VERIFY THAT ALL LOCATIONS LISTED ON THE
ATTACHED LOCATION LIST WERE PROPERLY POSTED WITH THE CORRECT
DESIGN WITHIN FIVE WORKING DAYS OF THE POSTING UATE ACCEPTFO
ON THE CONTRACT.

SIGHATURE L, IG. £4205
ant FatcecTPastihs nig Supt.

onte__ 2/25/59

"
0060214859.png,"Date 10-NOV-1986

Material Tested f-30 GLASS FIBER Supplier OWENS CORNING

Lot or Sample # ROLL 34 % 39 Quantity Received 2 ROLLS

Bate Received 11-6-86

ACCEPTED

XX KEJECTED

Following physical/visual properties out of specifications: WEIGHT OUT OF

SPECIFICATIONS ON ROLLS 34 & 35. WT, AV. ROLL 34 (189.04); WI. AV. ROLL

95 (183.44); SPECS. 190-210 GMS/SQM. LOI OUT OF SPEC. ON ROLL 34
(AV.2.49%) SPECIFICATIONS (2.6-3.1%).

Kenneth W. Smith
Technologist - GA Telephone # 6926

Distribution: Mr. Lucien L. Bass, III
tr. L.W. Peterson
Mr. W.B. Scantland ADDRTSs©7 ONLY
Ms. R. deLacy
Hel Blue Shsenen No._436 By _2¢_

Hr. RL. MeGee

9901 6650:

"
0060255888.png,"AMERICAN BROADCASTING COMPANY
TELEVISION NETWORK

1520 Avenue ofthe Americas, New Yook, New York 10018

rie

pete,__Ocotber 9, 1968

BBDO Inc.

Mr. Marv Goldsmith
Agency: Contact:

383 Madisom Avenue New York 10017

Address:

American Tobacco Co.
Clients,

Tareyton Cigarettes
Product:

Script(s) (and/or storyboard(e)) cleared:

Phone Booth
Phone Booth
Phone Booth
Ecu
ECU
ECU

BSssses

THESE COMMERCIALS CANNOT BE SCHEDULED UNTIL THIS DEPARTMENT HAS
BEEN NOPIFIED OF THEIR CODE NUMBERS.
PLEASE NOTIFY THIS DEPARTMENT OF ANY CHANGES IN THE CODE NUMBER(S).

Final approvel is, of course, dependent upon our screening the finished film(s), and
upon time and placement of the commercial(n).

Sincrely,
‘Americen Broadcasting Compeny
ae /gb Price
Depdtnent of
KER: 2577-2 REV 5/60 BROADCAST STANDARDS AND PRACTICES

"
0060262650.png,"ACCEPTED SYMPOSIUM Return this form to:

senimary i AAAS Meetings Office
Preliminary Program Information 1101 Vermont Ave., N.W.
‘Washington, D.C. 20005

Submit not later than1 November | Telephone: (202) 842-9530

Annual Meeting
od Los Ang eles

26-31 at 1985,

READ REVERSE SIDE BEFORE FILLING OUT THIS FORM
1p 202/_ 457-4850

RINCIPAL ORGANIZER (who will receive correspondence): TELEPHON! te ee
‘AME__Marvin A. Kastenbaup AFFILIATION,

‘DRESS, CITY, STATE, ZIP 20006,
‘O-ORGANIZER (If applicable): TELEPHONE.

a
SAME. AFFILIATION,
DDRESS. CITY, STATE, ZIP.
FOR ONE SESSION

‘NAL TITLE OF SYMPOSIUM. THE HUMAN CHROMOSOME
esider_DE» William J, Schull povinon Dizector - Genetics Centers
Affine Univ, of Texgs Graduate School of Biomedical Sciences (Houston)

+ Speaker Dr. Jorge I. Yunis Position. Professor

Adtinion__.UBLV. of Minnesota School of Medicine

‘tepic_The Oncogene, the Fragile Site, and Nonrandom Aberrations

. Spaser_DE» Sheldon Wolff poviion ChtmMan - Professor of Cytogenetic
‘Attinin LAbOFAt. Radiobiology & Environmental Health - U. of Cal. San Francis

‘Topic _Sistaz-Cbromatid Exchanges

+ Speaker De. Patricia Jacobs Position _PE0£e880T.
Atmision_University of Hawaii - Dept. of Anatony
‘Topic__Abnozmel Human Chromosome Complements

+ Speaker__Dr. Ravmond White Position _—__P20£ESS0r.
Aftlinion University of Utah

‘opie ‘A Human Linkege Map based on DNA Markers

 Speaker_DE. Michael A Bender Poston __Cytogeneticist
Amluion__Beookhaven National Laboratory - Medical Department
Topic___Cynogenetic Epicemiolcey

See Reverse Side

"
